month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202604,Texas,TX,359950.0,0.027,-0.0355,127223,0.0414,0.0323,53,-0.087,0.05,45424,0.0215,-0.0355,2744,-0.1261,-0.0622,0.0126,-0.0026,-0.001,43168.0,0.1209,-0.0552,0.1994,0.0121,-0.0137,43518.0,0.0728,0.0351,184.0,0.0083,-0.0233,1993.0,0.0143,-0.001,522011.0,0.0276,-0.0206,170370,0.0495,0.033,0.3421,0.01,0.0009,0.0
202604,Colorado,CO,575000.0,0.0177,-0.0204,26100,0.1015,0.0833,48,-0.0206,0.1047,11620,0.0353,-0.0866,366,0.0517,-0.0518,0.0075,-0.0002,-0.0007,10196.0,0.2761,0.0139,0.2083,0.029,-0.0064,10483.0,0.0548,-0.0047,286.0,0.0033,-0.0207,1979.0,0.0088,-0.0158,1029930.0,-0.0403,-0.0027,36497,0.0881,0.0543,0.4016,-0.0178,-0.0355,0.0
202603,Colorado,CO,565000.0,0.0273,-0.0174,23696,0.0878,0.1345,49,-0.2049,0.0778,11224,0.1612,-0.0172,348,0.381,0.0875,0.0077,0.0013,-0.0005,7990.0,0.2372,-0.0303,0.1793,0.0183,-0.0198,9938.0,0.135,0.0616,285.0,0.0062,-0.0204,1962.0,0.0093,-0.0141,1073147.0,-0.0139,-0.001,33543,0.1011,0.1109,0.4194,0.0174,-0.0288,0.0
202603,Texas,TX,350497.0,0.0017,-0.0395,122168,0.0376,0.0796,58,-0.1786,0.1058,44466,0.1564,-0.012,3140,0.0228,0.2171,0.0152,-0.0008,0.0014,38512.0,0.0862,0.0025,0.1873,0.0027,-0.0139,40564.0,0.1471,0.0806,182.0,0.0092,-0.0207,1965.0,0.0085,-0.0018,508010.0,0.0221,-0.0187,162338,0.0628,0.0795,0.332,0.0317,0.0003,0.0
202602,Texas,TX,349900.0,0.0026,-0.0144,117741,0.0203,0.1122,70,-0.1139,0.0606,38452,0.2417,0.0456,3070,0.0456,-0.0328,0.016,0.0,-0.0018,35456.0,0.2874,0.0503,0.1846,0.0285,-0.0088,35363.0,0.2125,0.0575,181.0,0.0035,-0.0191,1948.0,0.001,-0.0003,497013.0,0.0096,-0.0174,152742,0.0586,0.0986,0.3003,0.0476,-0.0155,0.0
202602,Colorado,CO,550000.0,0.002,-0.0169,21784,0.0677,0.169,61,-0.2824,-0.024,9666,0.1759,0.0997,252,0.125,-0.131,0.0064,0.0,-0.0017,6458.0,0.0735,0.0145,0.1609,-0.0091,-0.0233,8756.0,0.3531,0.0757,283.0,0.0101,-0.0134,1944.0,0.0031,-0.0089,1088245.0,-0.0021,-0.0126,30465,0.1367,0.1402,0.402,0.0848,-0.0349,0.0
202601,Texas,TX,349000.0,-0.0029,-0.0167,115395,-0.0565,0.1252,79,0.0395,0.0676,30968,0.2492,-0.0597,2936,0.0426,0.0731,0.016,0.0006,-0.0006,27540.0,0.0427,-0.0677,0.1561,0.0084,-0.0217,29165.0,-0.0711,0.0393,180.0,-0.005,-0.019,1946.0,-0.0084,-0.0021,492289.0,-0.0173,-0.0176,144288,-0.0596,0.1064,0.2527,-0.004,-0.0209,0.0
202601,Colorado,CO,548900.0,-0.001,-0.0189,20402,-0.1036,0.143,85,-0.0173,0.0625,8220,0.9332,0.0319,224,-0.0667,-0.3812,0.0064,-0.0006,-0.0049,6016.0,0.2888,0.2243,0.1701,0.032,0.0196,6471.0,-0.0376,0.0162,280.0,0.0028,-0.0158,1938.0,-0.0082,-0.0127,1090578.0,0.0505,-0.0041,26800,-0.0888,0.1089,0.3172,0.0218,-0.0396,0.0
202512,Colorado,CO,549450.0,-0.0275,-0.0274,22761,-0.1617,0.1865,87,0.1234,0.1019,4252,-0.3133,-0.0454,240,-0.0625,-0.0476,0.007,0.0008,-0.0019,4668.0,-0.4832,-0.0943,0.1381,-0.0792,-0.0303,6724.0,-0.189,-0.0266,280.0,0.0007,-0.0146,1954.0,-0.0374,-0.021,1038174.0,0.0316,-0.0065,29412,-0.1686,0.1293,0.2954,-0.0099,-0.0647,0.0
202512,Texas,TX,350000.0,-0.0196,-0.0264,122301,-0.0726,0.1315,76,0.0704,0.0629,24790,-0.2161,-0.0159,2816,0.1872,0.1157,0.0154,0.0022,0.0,26412.0,-0.336,0.1087,0.1477,-0.0535,0.0025,31398.0,-0.0669,0.0235,181.0,-0.0068,-0.0182,1963.0,-0.0113,-0.002,500932.0,-0.0203,-0.0143,153440,-0.0706,0.1079,0.2567,0.0016,-0.0271,0.0
202511,Colorado,CO,565000.0,-0.0216,-0.0242,27152,-0.0896,0.1773,77,0.0694,0.1493,6192,-0.1971,0.084,256,-0.2381,-0.1233,0.0062,-0.0012,-0.0017,9032.0,-0.2545,0.2531,0.2173,-0.0447,0.0236,8291.0,-0.053,-0.0026,280.0,-0.012,-0.0205,2030.0,-0.0202,-0.0098,1006364.0,-0.0173,0.0153,35376,-0.0815,0.1297,0.3054,0.0118,-0.0551,0.0
202511,Texas,TX,356990.0,-0.0084,-0.0219,131881,-0.0194,0.1437,71,0.029,0.0923,31624,-0.1407,0.0019,2372,-0.17,0.057,0.0132,-0.0005,0.0006,39776.0,-0.1443,0.124,0.2012,-0.0214,0.0077,33648.0,-0.0335,-0.0539,182.0,-0.0079,-0.018,1985.0,-0.0041,0.001,511335.0,-0.0109,-0.0125,165098,-0.0236,0.0951,0.2551,-0.0037,-0.0533,0.0
202510,Colorado,CO,577500.0,-0.0162,-0.0278,29824,-0.0398,0.194,72,0.0286,0.1901,7712,-0.1441,-0.0221,336,0.0633,-0.1923,0.0074,0.0009,-0.0025,12116.0,-0.039,0.1777,0.262,0.0043,0.0166,8755.0,-0.0688,-0.0396,283.0,-0.0074,-0.0191,2072.0,-0.004,-0.0064,1024038.0,-0.0098,0.0133,38517,-0.0457,0.1318,0.2936,-0.0091,-0.0714,0.0
202510,Texas,TX,360000.0,-0.0136,-0.0296,134495,-0.0109,0.1616,69,0.0299,0.1129,36802,0.0715,0.0787,2858,-0.0212,0.1043,0.0137,-0.0005,-0.0003,46482.0,0.009,0.2237,0.2226,-0.0007,0.0181,34815.0,-0.0423,-0.0384,184.0,-0.0048,-0.015,1993.0,-0.0034,-0.0039,516969.0,-0.0012,-0.0145,169090,-0.0175,0.1153,0.2589,-0.0085,-0.0538,0.0
202509,Colorado,CO,587000.0,-0.0134,-0.0213,31060,-0.0262,0.2364,70,0.0938,0.2174,9010,-0.0508,-0.0347,316,-0.0595,-0.0651,0.0065,-0.0002,-0.0013,12608.0,-0.0732,0.2056,0.2577,-0.0098,0.0196,9402.0,-0.0107,0.0005,285.0,-0.0064,-0.0248,2080.0,-0.0034,-0.0133,1034205.0,-0.0028,-0.0198,40363,-0.0218,0.1715,0.3027,0.0047,-0.0714,0.0
202509,Texas,TX,364950.0,-0.011,-0.0268,135984,-0.0259,0.1833,67,0.0469,0.1167,34346,-0.0794,-0.0158,2920,0.1283,0.0443,0.0141,0.0022,-0.0008,46068.0,-0.0731,0.0991,0.2233,-0.0085,0.0005,36353.0,-0.0369,-0.011,184.0,-0.0047,-0.0145,2000.0,-0.005,-0.006,517611.0,-0.0062,-0.0215,172099,-0.0283,0.1372,0.2673,-0.0031,-0.0525,0.0
202508,Texas,TX,369000.0,-0.016,-0.0238,139604,-0.0098,0.2192,64,0.0756,0.1034,37308,-0.0709,0.0475,2588,0.0957,0.0062,0.0119,0.0012,-0.0017,49700.0,-0.1117,0.1466,0.2318,-0.0218,0.0022,37747.0,-0.0353,0.0311,185.0,-0.0102,-0.0153,2010.0,-0.0069,-0.0069,520832.0,-0.0245,-0.0288,177103,-0.0146,0.1744,0.2704,-0.0072,-0.0493,0.0
202508,Colorado,CO,595000.0,-0.0067,-0.0246,31894,-0.0118,0.2969,64,0.1532,0.2308,9492,-0.035,0.0211,336,0.1507,0.05,0.0067,0.0012,-0.0009,13604.0,-0.0728,0.2554,0.2676,-0.0166,0.0182,9503.0,0.0002,0.0211,287.0,-0.0099,-0.0279,2087.0,-0.0005,-0.0211,1037084.0,-0.0078,-0.0453,41264,-0.0083,0.225,0.298,0.0036,-0.0805,0.0
202507,Colorado,CO,599000.0,-0.0016,-0.0362,32276,0.0399,0.3597,56,0.1327,0.2472,9836,-0.1997,-0.0281,292,-0.1934,-0.1043,0.0055,-0.0013,-0.0019,14672.0,-0.0052,0.2321,0.2841,0.0043,0.0107,9502.0,-0.0662,0.0193,290.0,-0.0116,-0.0274,2088.0,0.0026,-0.0297,1045184.0,0.0156,-0.0522,41610,0.0123,0.261,0.2944,-0.0334,-0.0983,0.0
202507,Texas,TX,375000.0,-0.0079,-0.013,140980,0.0197,0.2408,60,0.0721,0.0917,40154,-0.0928,0.0685,2362,-0.0964,0.0865,0.0107,-0.001,-0.0007,55952.0,-0.0204,0.2196,0.2536,-0.0027,0.0116,39128.0,-0.0551,0.0228,187.0,-0.0068,-0.0107,2024.0,0.0005,-0.0017,533922.0,-0.0099,-0.0162,179734,0.0016,0.1874,0.2775,-0.022,-0.0591,0.0
202506,Colorado,CO,599950.0,0.0019,-0.0323,31038,0.1136,0.4242,49,0.1136,0.225,12290,-0.013,0.0993,362,0.223,0.0402,0.0068,0.0011,-0.0013,14748.0,0.2265,0.3793,0.2798,0.043,0.0296,10175.0,-0.0224,0.1232,293.0,0.0002,-0.0131,2083.0,0.0144,-0.0359,1029083.0,0.028,-0.0551,41105,0.0746,0.3344,0.3278,-0.0456,-0.0879,0.0
202506,Texas,TX,378000.0,0.008,-0.0052,138255,0.049,0.2706,56,0.0882,0.0882,44260,-0.0515,0.0489,2614,-0.0961,0.0965,0.0117,-0.0015,-0.0006,57116.0,0.1516,0.2583,0.2563,0.0282,0.0178,41411.0,-0.0374,0.0311,189.0,-0.0028,-0.0064,2023.0,0.0055,0.0,539255.0,-0.0019,-0.0136,179455,0.0276,0.2064,0.2995,-0.0269,-0.0696,0.0
202505,Texas,TX,375000.0,0.0048,-0.0129,131795,0.0694,0.3034,51,0.02,0.0625,46664,-0.0092,0.1079,2892,-0.0116,0.108,0.0132,-0.0003,-0.0009,49596.0,0.0854,0.2524,0.2281,0.015,0.0133,43022.0,0.0233,0.0315,189.0,0.0048,-0.0058,2012.0,0.0088,-0.0007,540269.0,0.0137,-0.0149,174636,0.0589,0.2248,0.3264,-0.0147,-0.086,0.0
202505,Colorado,CO,598820.0,0.0201,-0.0301,27873,0.1569,0.5111,44,0.0233,0.1733,12452,-0.0212,0.0883,296,-0.2332,-0.1445,0.0057,-0.0024,-0.003,12024.0,0.1957,0.4948,0.2368,0.0221,0.0343,10408.0,-0.0117,0.1231,293.0,0.0034,-0.0166,2053.0,0.0209,-0.0418,1001030.0,-0.0307,-0.0732,38251,0.105,0.3832,0.3734,-0.0637,-0.129,0.0
202504,Texas,TX,373200.0,0.0227,-0.0048,123237,0.089,0.2951,50,-0.0385,0.0417,47098,0.0465,0.0465,2926,0.1341,-0.0975,0.0135,-0.0002,-0.0045,45692.0,0.1894,0.2913,0.2131,0.0119,0.0141,42043.0,0.12,0.0101,188.0,0.011,-0.005,1995.0,0.0135,-0.005,532977.0,0.0295,-0.0217,164926,0.0967,0.2088,0.3412,0.0094,-0.0963,0.0
202504,Colorado,CO,587000.0,0.0209,-0.0257,24093,0.1535,0.5031,43,-0.0444,0.075,12722,0.114,0.2022,386,0.2063,0.0158,0.0081,-0.0001,-0.0023,10056.0,0.2204,0.5997,0.2147,0.0156,0.039,10532.0,0.125,0.1382,292.0,0.0036,-0.0091,2011.0,0.0106,-0.0523,1032692.0,-0.0387,-0.0743,34616,0.1464,0.3723,0.4371,-0.0111,-0.1401,0.0
202503,Colorado,CO,575000.0,0.0277,-0.0415,20887,0.1209,0.4847,45,-0.28,0.0465,11420,0.2992,0.2803,320,0.1034,0.0959,0.0083,0.0002,-0.0007,8240.0,0.2944,0.7652,0.1991,0.0148,0.0473,9361.0,0.1501,0.0667,291.0,0.0134,-0.0181,1990.0,0.0145,-0.04,1074228.0,-0.0253,-0.1035,30195,0.1301,0.3151,0.4482,0.0114,-0.1757,0.0
202503,Texas,TX,364900.0,0.0279,-0.0003,113165,0.0689,0.2624,52,-0.2121,0.04,45004,0.2237,0.1054,2580,-0.1871,-0.0759,0.0137,-0.0041,-0.0031,38416.0,0.138,0.316,0.2012,0.0078,0.0195,37539.0,0.1226,0.0456,186.0,0.0109,-0.0029,1968.0,0.01,-0.0081,517693.0,0.0235,-0.0179,150378,0.0816,0.2005,0.3317,0.0158,-0.0688,0.0
202502,Colorado,CO,559475.0,0.0,-0.0589,18634,0.0439,0.438,63,-0.2188,0.0246,8790,0.1034,0.1499,290,-0.1989,-0.0705,0.0081,-0.0031,-0.0029,6366.0,0.2955,0.6753,0.1843,0.0338,0.0479,8140.0,0.2782,0.0479,287.0,0.0077,-0.0172,1962.0,-0.0008,-0.0493,1102085.0,0.0064,-0.093,26719,0.1055,0.292,0.4368,0.0801,-0.1626,0.0
202502,Texas,TX,355000.0,0.0002,-0.0138,105867,0.0323,0.2481,66,-0.1081,0.082,36776,0.1167,0.0396,3174,0.1601,0.068,0.0178,0.0012,-0.0016,33758.0,0.1428,0.2461,0.1934,0.0156,0.0159,33440.0,0.1916,0.0365,184.0,0.0036,-0.0055,1949.0,-0.0008,-0.0114,505819.0,0.0094,-0.0194,139036,0.0661,0.1901,0.3159,0.0422,-0.0645,0.0
202501,Texas,TX,354945.0,-0.0127,-0.0139,102552,-0.0512,0.2252,74,0.035,0.0423,32934,0.3074,0.0999,2736,0.084,0.027,0.0166,0.0012,-0.002,29540.0,0.24,0.2222,0.1778,0.0326,0.0042,28064.0,-0.0852,0.0526,183.0,-0.0042,-0.0049,1950.0,-0.0084,-0.0149,501099.0,-0.014,-0.0208,130410,-0.0584,0.1822,0.2737,-0.0102,-0.0449,0.0
202501,Colorado,CO,559500.0,-0.0096,-0.0436,17850,-0.0695,0.3845,80,0.0191,0.0526,7966,0.7885,0.2455,362,0.4365,0.3923,0.0112,0.0024,0.0008,4914.0,-0.0466,0.3796,0.1505,-0.018,0.0124,6368.0,-0.0781,-0.0079,285.0,0.004,-0.01,1963.0,-0.0165,-0.0478,1095067.0,0.0479,-0.0905,24169,-0.072,0.253,0.3568,-0.0033,-0.1411,0.0
202412,Texas,TX,359500.0,-0.0151,-0.0151,108089,-0.0627,0.2211,72,0.1,0.1,25190,-0.2019,0.0549,2524,0.1248,0.3599,0.0154,0.0029,0.0025,23822.0,-0.3268,0.1564,0.1452,-0.0482,-0.0026,30676.0,-0.1374,0.1322,184.0,-0.0065,-0.0035,1967.0,-0.0083,-0.0168,508220.0,-0.0185,-0.0276,138492,-0.0814,0.1998,0.2838,-0.0246,-0.0223,0.0
202412,Colorado,CO,564950.0,-0.0243,-0.0503,19184,-0.1682,0.3078,79,0.1716,0.1056,4454,-0.2202,0.1351,252,-0.137,0.2115,0.0089,0.001,0.0012,5154.0,-0.285,0.7365,0.1685,-0.0252,0.0488,6908.0,-0.1691,0.1034,284.0,-0.0053,-0.0048,1996.0,-0.0263,-0.0567,1045006.0,0.0543,-0.1008,26045,-0.1683,0.2476,0.3601,-0.0004,-0.0667,0.0
202411,Texas,TX,365000.0,-0.0162,-0.0135,115315,-0.004,0.2407,65,0.0484,0.1304,31564,-0.0748,0.0672,2244,-0.1329,0.0799,0.0125,-0.0014,-0.0013,35388.0,-0.0683,0.0842,0.1935,-0.011,-0.0217,35564.0,-0.0177,0.2509,185.0,-0.0049,-0.0017,1983.0,-0.009,-0.0164,517790.0,-0.013,-0.0299,150765,-0.0056,0.2453,0.3084,-0.0043,0.0025,0.0
202411,Colorado,CO,579000.0,-0.0253,-0.0334,23063,-0.0766,0.351,67,0.1074,0.1754,5712,-0.2757,-0.0024,292,-0.2981,-0.1412,0.0079,-0.002,-0.0036,7208.0,-0.2994,0.1358,0.1937,-0.0517,-0.0197,8313.0,-0.0881,0.1898,285.0,-0.0105,0.0061,2050.0,-0.0168,-0.0577,991221.0,-0.0192,-0.1252,31314,-0.0799,0.3048,0.3604,-0.0045,-0.0489,0.0
202410,Colorado,CO,594000.0,-0.0096,-0.0221,24977,-0.0057,0.3953,61,0.0522,0.1863,7886,-0.1551,0.1098,416,0.2308,0.5758,0.0099,0.0022,0.0018,10288.0,-0.0163,0.2799,0.2454,0.0073,0.0013,9116.0,-0.0299,0.185,288.0,-0.0132,0.0105,2085.0,-0.0109,-0.0601,1010601.0,-0.0421,-0.1171,34032,-0.0123,0.3321,0.365,-0.0091,-0.0648,0.0
202410,Texas,TX,371000.0,-0.0107,-0.0107,115782,0.0075,0.2615,62,0.0333,0.1589,34116,-0.0224,0.0438,2588,-0.0744,0.2551,0.0139,-0.001,0.0006,37984.0,-0.0938,0.0354,0.2045,-0.0183,-0.0331,36204.0,-0.0151,0.1803,186.0,-0.0043,-0.0027,2001.0,-0.0055,-0.0126,524588.0,-0.0083,-0.0248,151611,0.0019,0.2399,0.3127,-0.0072,-0.0215,0.0
202409,Texas,TX,374999.0,-0.0079,-0.0129,114916,0.0036,0.3127,60,0.0345,0.1765,34896,-0.0202,0.0388,2796,0.0871,0.5603,0.015,0.0013,0.0034,41914.0,-0.033,0.1563,0.2228,-0.0067,-0.0126,36758.0,0.0041,0.0921,187.0,-0.0056,-0.0032,2012.0,-0.0059,-0.0152,528991.0,-0.0135,-0.0263,151331,0.0035,0.2515,0.3199,0.0002,-0.0646,0.0
202409,Colorado,CO,599749.0,-0.0168,-0.048,25121,0.0215,0.3813,58,0.1058,0.1735,9334,0.0041,0.1773,338,0.0563,-0.0611,0.0078,0.0002,-0.0028,10458.0,-0.0349,0.2969,0.2381,-0.0112,0.0025,9397.0,0.0096,0.1552,292.0,-0.0095,0.0045,2108.0,-0.0113,-0.0522,1055053.0,-0.0288,-0.1115,34455,0.0228,0.3205,0.374,-0.0044,-0.0732,0.0
202408,Colorado,CO,610000.0,-0.0185,-0.0504,24593,0.036,0.3925,52,0.1685,0.1818,9296,-0.0814,0.0315,320,-0.0184,-0.0303,0.0076,0.0001,-0.0019,10836.0,-0.09,0.3508,0.2494,-0.024,0.0199,9307.0,-0.0016,0.0823,295.0,-0.0094,0.0162,2132.0,-0.0093,-0.055,1086304.0,-0.0149,-0.0986,33686,0.0208,0.2887,0.3784,-0.0143,-0.1085,0.0
202408,Texas,TX,378000.0,-0.0051,-0.0237,114506,0.0078,0.3539,58,0.0642,0.1837,35616,-0.0523,0.037,2572,0.1831,0.2822,0.0136,0.0022,0.0008,43344.0,-0.0552,0.228,0.2296,-0.0124,0.0034,36608.0,-0.043,-0.0212,188.0,-0.0056,-0.0033,2024.0,-0.0017,-0.0203,536254.0,-0.0119,-0.0271,150807,-0.0037,0.2388,0.3197,-0.017,-0.1225,0.0
202407,Texas,TX,379945.0,-0.0001,-0.0304,113622,0.0442,0.3925,55,0.0686,0.2111,37580,-0.1094,-0.032,2174,-0.0881,0.0392,0.0114,-0.0009,-0.0015,45876.0,0.0107,0.3163,0.242,0.0034,0.0255,38255.0,-0.0475,-0.0391,189.0,-0.0025,-0.0052,2028.0,0.0022,-0.0229,542692.0,-0.0074,-0.0294,151368,0.0176,0.2501,0.3367,-0.0324,-0.1512,0.0
202407,Colorado,CO,621495.0,0.0024,-0.0439,23738,0.0892,0.4145,45,0.1125,0.1711,10120,-0.0948,0.1058,326,-0.0632,0.2937,0.0074,-0.0007,0.0001,11908.0,0.1137,0.6268,0.2734,0.0232,0.0598,9322.0,0.029,0.0548,298.0,0.0029,0.0151,2152.0,-0.0037,-0.0582,1102788.0,0.0125,-0.1097,32998,0.0712,0.2987,0.3927,-0.023,-0.1339,0.0
202406,Colorado,CO,620000.0,0.0042,-0.0462,21793,0.1815,0.4482,40,0.0667,0.1111,11180,-0.0229,0.0711,348,0.0058,0.0807,0.0082,-0.0006,-0.0013,10692.0,0.3292,0.708,0.2502,0.0477,0.0688,9059.0,-0.0225,0.0095,297.0,-0.0033,0.0119,2160.0,0.0082,-0.0524,1089148.0,0.0084,-0.0933,30805,0.1139,0.2892,0.4157,-0.0867,-0.1807,0.0
202406,Texas,TX,379990.0,0.0002,-0.0379,108808,0.0761,0.4208,51,0.0625,0.1461,42196,0.0019,0.0521,2384,-0.0866,0.0093,0.0123,-0.0018,-0.0024,45392.0,0.1463,0.4395,0.2385,0.0238,0.0418,40162.0,-0.037,-0.0256,190.0,-0.0022,-0.0065,2023.0,0.0047,-0.0236,546715.0,-0.0031,-0.0287,148754,0.0433,0.2657,0.3691,-0.0434,-0.1691,0.0
202405,Colorado,CO,617400.0,0.0247,-0.0493,18446,0.1508,0.3925,38,-0.0625,0.0135,11442,0.0813,0.1374,346,-0.0895,-0.0442,0.0088,-0.0017,-0.0025,8044.0,0.2797,0.6336,0.2025,0.0268,0.0498,9268.0,0.0016,0.0108,298.0,0.011,0.0274,2143.0,0.0097,-0.0526,1080121.0,-0.0318,-0.1127,27654,0.0963,0.2355,0.5024,-0.0748,-0.1897,0.0
202405,Texas,TX,379900.0,0.0131,-0.0258,101118,0.0627,0.4203,48,0.0,0.0667,42118,-0.0642,0.0867,2610,-0.1949,0.0994,0.0141,-0.0039,-0.0015,39600.0,0.1191,0.4695,0.2148,0.0158,0.0371,41707.0,0.002,0.0014,190.0,0.0056,0.0001,2014.0,0.0045,-0.0226,548435.0,0.0067,-0.0191,142582,0.045,0.2634,0.4125,-0.025,-0.1725,0.0
202404,Texas,TX,375000.0,0.0274,-0.0257,95156,0.0615,0.3827,48,-0.04,0.0213,45006,0.1055,0.2333,3242,0.1612,0.1954,0.018,0.0012,-0.0001,35384.0,0.2121,0.4417,0.199,0.0172,0.0324,41624.0,0.1594,0.0362,189.0,0.0131,0.0036,2005.0,0.0103,-0.0184,544805.0,0.0336,-0.0051,136437,0.0892,0.2548,0.4374,0.0369,-0.1463,0.0
202404,Colorado,CO,602500.0,0.0043,-0.0584,16029,0.1394,0.315,40,-0.0698,0.0256,10582,0.1863,0.131,380,0.3014,0.0326,0.0105,0.0015,-0.0015,6286.0,0.3466,0.5842,0.1757,0.0238,0.0505,9253.0,0.0544,0.0593,295.0,-0.0056,0.0273,2122.0,0.0236,-0.0433,1115554.0,-0.069,-0.1171,25224,0.0986,0.212,0.5773,-0.0466,-0.1394,0.0
202403,Colorado,CO,599900.0,0.0091,-0.0378,14068,0.0857,0.2432,43,-0.2951,-0.1042,8920,0.1669,0.1297,292,-0.0641,-0.0759,0.009,-0.002,-0.0028,4668.0,0.2284,0.3665,0.1519,0.0155,0.0254,8776.0,0.1298,0.1333,296.0,0.0144,0.0382,2073.0,0.0047,-0.0435,1198196.0,-0.0139,-0.0731,22961,0.1103,0.212,0.6238,0.0244,-0.0605,0.0
202403,Texas,TX,365000.0,0.014,-0.0201,89640,0.0568,0.3082,50,-0.1803,-0.0385,40712,0.1509,0.2048,2792,-0.0606,0.0923,0.0168,-0.0026,-0.0016,29192.0,0.0775,0.2628,0.1817,0.0043,0.0151,35902.0,0.1128,-0.0237,187.0,0.0082,0.0065,1984.0,0.0066,-0.0171,527113.0,0.0219,0.0028,125261,0.0722,0.1924,0.4005,0.0202,-0.1362,0.0
202402,Texas,TX,359950.0,0.0,-0.0138,84826,0.0134,0.2276,61,-0.1408,-0.0543,35374,0.1814,0.1501,2972,0.1156,0.2081,0.0194,0.0007,0.0012,27092.0,0.1209,0.2318,0.1775,0.0038,0.0147,32262.0,0.2101,-0.0686,185.0,0.0042,0.0095,1971.0,-0.0043,-0.0196,515832.0,0.008,0.0085,116822,0.059,0.1288,0.3803,0.0618,-0.121,0.0
202402,Colorado,CO,594500.0,0.0162,0.0035,12958,0.0051,0.1474,61,-0.1974,-0.0963,7644,0.1951,0.1498,312,0.2,0.2188,0.011,0.0006,0.001,3800.0,0.0668,0.1243,0.1364,-0.0017,0.0023,7768.0,0.2101,0.0541,292.0,0.015,0.0565,2063.0,0.0008,-0.0315,1215039.0,0.0091,-0.0199,20680,0.0722,0.114,0.5994,0.1016,-0.053,0.0
